Percentage served,Time in ms
0,106.343
1,106.398
2,108.751
3,109.195
4,111.561
5,111.807
6,112.909
7,112.962
8,112.993
9,115.088
10,115.850
11,116.274
12,116.962
13,117.760
14,118.332
15,118.483
16,119.004
17,119.863
18,120.101
19,120.531
20,121.226
21,122.027
22,124.077
23,124.140
24,125.265
25,125.496
26,125.509
27,126.004
28,126.033
29,126.741
30,127.024
31,128.009
32,128.081
33,128.944
34,129.365
35,129.735
36,129.786
37,130.531
38,130.578
39,131.262
40,131.268
41,131.412
42,131.816
43,132.171
44,132.369
45,132.469
46,132.478
47,132.837
48,133.290
49,133.748
50,134.107
51,134.424
52,135.227
53,135.745
54,136.628
55,136.756
56,136.828
57,137.531
58,138.853
59,139.042
60,139.647
61,139.775
62,140.348
63,140.551
64,140.796
65,141.620
66,141.677
67,142.017
68,142.471
69,143.764
70,144.108
71,144.479
72,146.510
73,147.274
74,147.631
75,147.845
76,149.184
77,152.514
78,156.129
79,157.119
80,158.345
81,159.466
82,187.575
83,193.731
84,202.221
85,203.950
86,203.975
87,204.827
88,204.850
89,206.470
90,207.615
91,210.801
92,250.384
93,261.795
94,332.174
95,332.864
96,350.871
97,488.657
98,490.110
99,1360.476
100,1360.476
